"state","year","barrels","percentage_total_barrels","state_name","id"
"ID",2016,39531.68,0.02,"Idaho","16"
"IL",2016,1597355.13,0.92,"Illinois","17"
"IN",2016,172603.47,0.1,"Indiana","18"
"KS",2016,35750.88,0.02,"Kansas","20"
"KY",2016,144009.97,0.08,"Kentucky","21"
"LA",2016,175596.0,0.1,"Louisiana","22"
"MA",2016,386392.59,0.22,"Massachusetts","25"
"MD",2016,201781.92,0.12,"Maryland","24"
"ME",2016,284716.99,0.16,"Maine","23"
"MI",2016,1061074.24,0.61,"Michigan","26"
"MN",2016,515723.83,0.3,"Minnesota","27"
"MO",2016,13508905.49,7.74,"Missouri","29"
"MS",2016,20197.61,0.01,"Mississippi","28"
"MT",2016,146793.13,0.08,"Montana","30"
"NC",2016,4057075.15,2.33,"North Carolina","37"
"ND",2016,5449.08,0.0,"North Dakota","38"
"NE",2016,38149.64,0.02,"Nebraska","31"
"NH",2016,3171750.6,1.82,"New Hampshire","33"
"NJ",2016,3072114.28,1.76,"New Jersey","34"
"NM",2016,71724.71,0.04,"New Mexico","35"
"NV",2016,32214.58,0.02,"Nevada","32"
"NY",2016,8180227.63,4.69,"New York","36"
"OH",2016,19638546.06,11.26,"Ohio","39"
"OK",2016,23765.14,0.01,"Oklahoma","40"
"OR",2016,1712249.53,0.98,"Oregon","41"
"PA",2016,4945013.04,2.83,"Pennsylvania","42"
"RI",2016,15602.89,0.01,"Rhode Island","44"
"SC",2016,64297.41,0.04,"South Carolina","45"
"SD",2016,6759.85,0.0,"South Dakota","46"
"TN",2016,1224388.12,0.7,"Tennessee","47"
"TX",2016,19757170.27,11.33,"Texas","48"
"UT",2016,185172.23,0.11,"Utah","49"
"VA",2016,12533844.77,7.19,"Virginia","51"
"VT",2016,301825.06,0.17,"Vermont","50"
"WA",2016,470084.02,0.27,"Washington","53"
"WI",2016,10208869.65,5.85,"Wisconsin","55"
"WV",2016,10642.57,0.01,"West Virginia","54"
"WY",2016,29645.23,0.02,"Wyoming","56"
"AK",2017,191843.38,0.11,"Alaska","2"
"AL",2017,49729.58,0.03,"Alabama","1"
"AR",2017,26989.32,0.02,"Arkansas","5"
"AZ",2017,182377.82,0.11,"Arizona","4"
"CA",2017,19177049.14,11.24,"California","6"
"CO",2017,19688220.1,11.54,"Colorado","8"
"CT",2017,238497.47,0.14,"Connecticut","9"
"DC",2017,31359.82,0.02,"District of Columbia","11"
"DE",2017,298212.93,0.17,"Delaware","10"
"FL",2017,11051249.34,6.47,"Florida","12"
"GA",2017,13992077.13,8.2,"Georgia","13"
"HI",2017,70765.96,0.04,"Hawaii","15"
"IA",2017,66536.31,0.04,"Iowa","19"
