tax_status,year,month,type,month_current,tax_rate
Taxable,2012,1,"Tax Determined, Premises Use",6501,$7/$18 per barrel
Tax Free,2012,1,For export,321453,$7/$18 per barrel
Tax Free,2012,1,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2012,1,Consumed on brewery premises,1044,$7/$18 per barrel
Taxable,2012,2,In bottles and cans,12332071,$7/$18 per barrel
Taxable,2012,2,In kegs,1376460,$7/$18 per barrel
Taxable,2012,2,"Tax Determined, Premises Use",6715,$7/$18 per barrel
Tax Free,2012,2,For export,357753,$7/$18 per barrel
Tax Free,2012,2,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2012,2,Consumed on brewery premises,1121,$7/$18 per barrel
Taxable,2012,3,In bottles and cans,13773526,$7/$18 per barrel
Taxable,2012,3,In kegs,1686628,$7/$18 per barrel
Taxable,2012,3,"Tax Determined, Premises Use",102876,$7/$18 per barrel
Tax Free,2012,3,For export,416950,$7/$18 per barrel
Tax Free,2012,3,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2012,3,Consumed on brewery premises,6082,$7/$18 per barrel
Taxable,2012,4,In bottles and cans,13477976,$7/$18 per barrel
Taxable,2012,4,In kegs,1412362,$7/$18 per barrel
Taxable,2012,4,"Tax Determined, Premises Use",7775,$7/$18 per barrel
Tax Free,2012,4,For export,411898,$7/$18 per barrel
Tax Free,2012,4,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2012,4,Consumed on brewery premises,1190,$7/$18 per barrel
Taxable,2012,5,In bottles and cans,15336779,$7/$18 per barrel
Taxable,2012,5,In kegs,1564931,$7/$18 per barrel
Taxable,2012,5,"Tax Determined, Premises Use",7918,$7/$18 per barrel
Tax Free,2012,5,For export,461000,$7/$18 per barrel
Tax Free,2012,5,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2012,5,Consumed on brewery premises,1168,$7/$18 per barrel
Taxable,2012,6,In bottles and cans,15192075,$7/$18 per barrel
Taxable,2012,6,In kegs,1664444,$7/$18 per barrel
Taxable,2012,6,"Tax Determined, Premises Use",114288,$7/$18 per barrel
Tax Free,2012,6,For export,432795,$7/$18 per barrel
Tax Free,2012,6,For vessels and aircraft,28,$7/$18 per barrel
Tax Free,2012,6,Consumed on brewery premises,8804,$7/$18 per barrel
Taxable,2012,7,In bottles and cans,14929416,$7/$18 per barrel
Taxable,2012,7,In kegs,1490304,$7/$18 per barrel
